ID,Name,Description,Open Timings,Location,Category,Rating,Review Count
015,Sugarbush Hill Maple Farm,"Sugarbush Hill is a ""State Of The Art"" maple sugaring operation near the Town of Huntsville. We are the largest sugarhouse open to the public on a year round basis in the District of Muskoka. We offer 100% pure maple syrup and other delicious maple products produced right here from our own sugarbush. SUGARHOUSE TOURS and TASTINGS from May to October, please check tour times and hours on our website under ""Contact"" and ""Tours Details"". Reservations and payment is required for tours in advance as they fill up quickly. See our huge eco-friendly and highly efficient wood-fired evaporator, many displays of maple antiques and artifacts or stroll our maple forest. We would be pleased to take the time to explain the complete maple sugaring process from the past to the present day. A Canadian heritage at it's finest is waiting for you. For your premium MUSKOKA MAPLE EXPERIENCE come to Sugarbush Hill Maple Farm and see what all the fuss has been about for centuries.",10:00 AM - 4:00 PM,Huntsville,Farms,5,570
016,Upper Canada Village,"Touring Upper Canada Village is a magical experience, transporting you back in time to the 1860s. A key part of the experience is the authentic buildings that make up the village, the activities that each housed, and of course, the people who lived there.",9:30 AM - 5:00 PM,Morrisburg,"Historic Sites, History Museums",4.5,808
017,Edwards Gardens,"Edwards Gardens is a serene botanical oasis in Toronto, featuring meticulously landscaped gardens, tranquil ponds, and scenic walking paths, perfect for relaxation and nature appreciation.",,Toronto,Gardens,4.5,713
018,Scarborough Bluffs,Take in a spectacular view of the waves from these 100-meter cliffs.,,Toronto,Lookouts,4.5,756
019,King's Wharf Theatre,"Nestled within Discovery Harbour on Georgian Bay, the King's Wharf Theatre is a pleasantly rustic, 385-seat venue that offers all the comforts of a modern facility. Flanked by the historic buildings of a 19th-century British naval and military base, the theatre is located at the end of a beautiful boardwalk that looks on to the homeport of replica ships H.M.S. Bee and H.M.S. Tecumseth. A visit to the King's Wharf Theatre takes only 45 minutes from Barrie and Orillia, or just over an hour from Collingwood. While in the area, explore the communities of Penetanguishene and Midland, which offer unique shops and dining establishments. You'll also want to discover such treasures as Ontario's first European Community at Sainte-Marie among the Hurons.",9:00 AM - 8:00 PM,Penetanguishene,Theatres,5,323
020,Killarney Provincial Park,"Killarney Provincial Park captivates with its rugged beauty, encompassing pristine lakes, towering granite cliffs, and lush forests, offering unparalleled opportunities for camping, hiking, canoeing, and wildlife viewing.",,Killarney,National Parks,4.5,379
021,Lakeside Park Carousel,"Lakeside Park Carousel is a charming historic carousel nestled in the heart of Port Dalhousie, offering timeless rides and nostalgic experiences for visitors of all ages",,St. Catherines,Amusement and Theme Parks,5,643
022,HMCS Haida National Historic Site,"The last Tribal Destroyer in the world, HMCS HAIDA is Canada’s most famous warship. She inspires countless adults and children and draw visitors from Ontario, across North America and from around the globe. This WWII Tribal Class destroyer is now a floating memorial and naval museum.",,Hamilton,"Military Museums, Historic Sites, Ships",4.5,439
023,Stones 'N Bones Museum,"The Stones 'N Bones Museum is a 10,000 sq ft. museum that features an international collection of fossils, minerals, gemstones, artifacts, shells, butterflies, insects, taxidermy, huge shark jaws, dinosaurs, and more.",10:00 AM - 5:00 PM,Sarnia,Speciality Museums,5,380
024,Allan gardens Conservatory,"Donated by a prominent local philanthropist, these gardens boast a beautiful glass-domed Victorian structure.",10:00 AM - 5:00 PM,Toronto,Gardens,4.5,653
025,Sleeping Giant Provincial Park,"Located on a rugged peninsula of thick forests, several lakes, and high granite cliffs, this scenic wonderland offers nature walks, camping and fishing activities.",,Pass Lake,National Parks,4.5,508
026,Caroline Cellars Family Estate Winery,"Indulge in the country charm of one of NOTL's most popular family owned and operated wineries. We have a wide selection of VQA white wines, red wines and Icewines available. We also make a small selection of fruit wines, which include our popular Cranberry Winter Harvest and Plum wines. Wine Tasting is available on a daily basis. Our property is open to the public and reservations are recommended but not required. We also have a Special Events Loft available for special occasion rental, including weddings. We also have an on-site Cafe - The Farmhouse Cafe - open for lunch daily. Please visit our website for detailed information regarding our wines, special events loft and events at the winery.",11:00 AM - 5:00 PM,Virgil,Wineries and Vineyards,4.5,667
027,Black Creek Pioneer Village,"Immerse yourself in the 1860s and explore an authentically re-created country village of the Toronto region. At Black Creek Pioneer Village, visitors discover 40 historic buildings, 70 rare and heritage breed animals, 10 gardens growing flowers and plants from heirloom seeds, and exciting programs that engage people of all ages. They meet costumed educators who demonstrate and involve visitors with trades and crafts common in 1860s’ Ontario, tap their toes to music of the era, laugh at the hysterical antics of the History Actors, and have fun engaging in hands-on activities throughout the village!",11:00 AM - 4:00 PM,Toronto,"Historic Sites, History Museums",4.5,604
028,TerraCello Winery,"A small artisan winery with authentic hand made wood fired Neopolitan pizza, natural wines, in a rustic, charming setting nestled over a beautiful vineyard, many say is a true taste of Italy in Prince Edward County.",,Bloomfield,Wineries and Vineyards,4.5,259
029,McMichael Canadian Art Collection,"Canadian art and stories - through a distinctly Canadian art experience.The McMichael Canadian Art Collection offers its visitors a unique and truly Canadian experience. From the art within the gallery on its walls to the surrounding landscape, the McMichael is the perfect gallery for an introduction to Canada's art, its peoples, their cultures and their history.Renowned for its devotion to collecting only Canadian art, the McMichael permanent collection consists of almost 6,000 artworks by Tom Thomson, the Group of Seven, their contemporaries, and First Nations, Inuit and other artists who have made a contribution to Canada's artistic heritage.The gallery welcomes on average 100,000 visitors annually.Intriguing. Inviting. Inspiring.The McMichael Canadian Art Collection is a major public art gallery devoted solely to collecting Canadian art. The gallery offers visitors the unique opportunity to enjoy Canadian landscape paintings in the woodland setting that inspired them. Plus the McMichael brings internationally acclaimed touring exhibitions to its audience, providing a broader context for the collection and also reflecting today's audience's higher demand and interest in art. The McMichael's goal is to bring visitors diverse, creative, high-quality, thought-provoking exhibitions, in order to continually keep its audience engaged and interested.Built of fieldstone and hand-hewn logs, the McMichael houses thirteen exhibition galleries and is situated amid 100 acres of serene conservation land. Floor-to-ceiling windows enable visitors to enjoy marvellous views of the densely wooded Humber River Valley.Through a network of outdoor paths and hiking trails, visitors can discover outdoor sculptures and wander the McMichael Cemetery where six Group of Seven members and gallery co-founders Robert and Signe McMichael have been laid to rest.See. Do. Discover.The McMichael displays a wide range of exhibitions each year, and offers a stimulating array of programs and events for people of all ages. They include curators' lectures, tours, music performances, kids' camps, workshops, school programs and hands-on art activities.Experience Canada in a day at the McMichael Canadian Art Collection.",10:00 AM - 5:00 PM,Kleinburg,"Art Galleries, Art Museums",4.5,525
030,Canadian Automative Museum,"Explore aviation history and adventure at the Canadian Bushplane Heritage Centre. Located in a historic waterfront hangar, this interactive museum showcases 24 aircraft exhibits, including the original De Havilland Beaver and CL-215 waterbomber. Enjoy hands-on activities in the Children's Flight Centre and watch the award-winning film ""Wildfires!"" Learn about bush flying and forest fire management through guided tours at 10am and 2pm daily. Don't miss the chance to visit the Entomica Insectarium with the Adventure Pass. The CBHC is also a great venue for weddings, birthdays, and corporate events, making it perfect for school field trips and recreational bus tours",10:00 AM - 4:00 PM,Oshawa,"Speciality Museums, History Museums",4.5,287
031,Canadian Bushplane Heritage Centre,"The Canadian Bushplane Heritage Centre in Sault Ste. Marie showcases the rich history of bush flying in Canada through interactive exhibits and vintage aircraft, providing an immersive experience for aviation enthusiasts and history buffs alike.",10:00 AM - 4:00 PM,Sault Ste.Marie,History Museums,4.5,564
032,The Blue Point Amethyst Mine,"The Blue Point Amethyst Mine in Thunder Bay offers visitors a unique opportunity to uncover stunning amethyst crystals in a picturesque natural setting, providing an unforgettable gemstone mining experience.",,Thunder Bay,Mines,4.5,226
033,Lake on the Mountain,"Lake on the Mountain, nestled atop a picturesque escarpment in Prince Edward County, captivates with its mysterious origins and breathtaking views of the surrounding landscape, making it a must-visit destination for nature lovers and sightseers.",,Picton,Bodies of Water,4,619
034,The Ontario Regiment RCAC Museum,"The Ontario Regiment RCAC Museum has a Historic collection of over 80 operational military vehicles including jeeps, trucks, carriers and tanks.",,Oshawa,Military Museums,5,179
035,Cup and Saucer Trail,"The Cup and Saucer Trail on Manitoulin Island invites hikers to explore dramatic cliffs and lush forests, culminating in panoramic views of the island and Georgian Bay, offering a thrilling outdoor adventure for nature enthusiasts.",,Manitoulin Island,Hiking Trails,4.5,318
036,Perivale Gallery,"Follow Perivale Road East from Spring Bay. Perivale Gallery offers a feast for the senses along the beautiful southeastern shore of Lake Kagawong. Representing exceptional contemporary Canadian fine artists, sculptors and artisans for over 40 years, this eclectic exhibition of original work in a variety of media and styles, is ever-changing and evolving and worth several visits over the season. Open weekends (Friday, Saturday and Sunday) 10 - 5 and by appointment Monday thru Thursday from the May holiday until mid September.",10:00 AM - 5:00 PM,Spring Bay,Art Galleries ,5,194
037,The Welland Canal,"The Welland Canal, a vital waterway connecting Lake Ontario and Lake Erie, showcases engineering marvels with its series of locks and channels, facilitating maritime trade and offering a fascinating glimpse into Canada's industrial heritage.",,Welland,Bodies of Water,4.5,320
038,Cambridge Butterfly Conservatory,"Discover thousands of free-flying butterflies in our 10,000-square-foot indoor tropical garden. Our conservatory also hosts a variety of tropical plants, birds, and animals, along with several water features. Witness butterflies emerge from their chrysalis and take their first flight, tour our mounted and live-insect galleries, shop our gift store and enjoy our café to complete your visit! Our NEW insect-themed playground is now OPEN (Closed during the winter months) Access is granted with regular admission.",10:00 AM - 5:00 PM,Cambridge,"Speciality Museums, Nature and Wildlife Areas",4.5,561
039,Bank of Canada Museum,"Enter the heart of the economic system and explore fun, hands-on, interactive exhibits that cover everything from how people’s expectations affect the health of an economy to how inflation targeting works (hint: you get to fly a rocket ship!). The Museum also features artifacts from the National Currency Collection -- the most complete collection of Canadian coins, notes and tokens in the world.",10:00 AM - 5:00 PM,Ottawa,"Speciality Museums, Children's Museums, History Museums",4.5,225
040,St.Catherines Museum and Welland Canals Centre at Lock 3,"The St. Catharines Museum and Welland Canals Centre at Lock 3 offers a captivating journey through the region's rich history, highlighting the engineering feats of the Welland Canal and showcasing artifacts and exhibits that celebrate the area's cultural heritage.",9:00 AM - 5:00 PM,St. Catherines,Speciality Museums,4.5,399
041,Waterfalls of Hamilton,"The Waterfalls of Hamilton present a mesmerizing natural spectacle, with over 100 stunning cascades scattered throughout the city's lush escarpment, offering picturesque hiking trails and scenic viewpoints for visitors to enjoy.",,Hamilton,"Points of Interest, Landmarks",4.5,398
042,Dufferin Islands Park,"Dufferin Islands Park, nestled in Niagara Falls, boasts serene pathways, lush greenery, and tranquil ponds, offering a peaceful retreat amidst the bustling cityscape and serving as a scenic backdrop for leisurely strolls and picnics.",,Niagara Falls,"Islands, Parks",4.5,376
043,Kacaba Vineyards Winery,"Kacaba Vineyards Winery is a premium winery located on prime bench land of The Niagara Escarpment in Vineland, ON. In 1997 Michael Kacaba launched Kacaba Vineyards; saving the Escarpment Benchland from a developer’s bulldozer. Today, Michael and his team craft a full range of wines, including their highly awarded estate grown Syrah (Ontario’s oldest plantings.) Smaller batch sizes assure that the Winemaker's focus is placed on producing wine of merit, with emphasis on creating wines rich in aromas, deep in color and character with velvety finishes. With a view across Lake Ontario to Toronto, guests are welcome to sample wines with multiple awards from Canadian & International competitions. The wine boutique is open daily. ",10:00 AM - 6:00 PM,Lincoln,Wineries and Vineyards,5,332
044,Hog's Back Falls,Beautiful 60-foot waterfall where the Rideau River and Rideau Canal part.,,Ottawa,Waterfalls,4.5,477
045,Inglis Falls,"Inglis Falls, located in Owen Sound, showcases a majestic cascade plunging over rugged limestone cliffs, surrounded by lush forested trails and scenic viewpoints, offering visitors a captivating natural retreat and a picturesque backdrop for outdoor adventures.",,Owen Sound,Waterfalls,4.5,473
046,Rattray Marsh Conservation Area,"Rattray Marsh Conservation Area, nestled along Lake Ontario in Mississauga, provides a serene escape into nature with its tranquil marshlands, winding trails, and diverse wildlife, offering visitors a peaceful haven for birdwatching, hiking, and nature appreciation.",7:00 AM - 8:30 PM,Mississauga,Nature and Wildlife Areas ,4.5,325
047,Canadian Aviation Museum,"The Canadian Aviation Museum (formerly CH2A) is located in the main hangar of the old No. 7 Elementary Flying Training School at the southwest corner of Windsor International Airport. We feature Avro Lancaster and de Havilland Mosquito restoration projects, 2 flying DHC-1 Chipmunks, a Boeing Stearman and North American Harvard as well as static displays of a Fleet Fawn and CT-133 Silver Star.",10:00 AM - 3:00 PM,Windsor,Speciality Museums,5,80
048,Capitol Theatre,"The Cameco Capitol Arts Centre is a professional regional theatre located 1-hour east of Downtown Toronto where you will experience top quality productions and concerts in the historic and picturesque small town of Port Hope. Since 2013, under Artistic Director & General Manager Antonio Sarmiento the Capitol has won awards and recognition for embracing its historical status AND using innovative technologies in visual effects to create an enhanced live experience. Recent critically acclaimed stage productions utilizing these technologies include productions of “Disney’s Mary Poppins” and “Singin’ In The Rain”, “SNARL’D! The Rapunzel Panto” and our highly anticipated productions of “On Golden Pond”, “Crazy For You” and the global sensation “Mamma Mia!”. The Capitol has become a “must-see” Ontario destination that has partnerships with local restaurants, cafes, merchants, accommodations and more to offer a complete “experience” to our guests.",10:00 AM - 4:00 PM,Port Hope,Theatres,5,249
049,Primitive Designs,"Primitive Designs is a retail store in Port Hope, Ontario that sells exotic and unique arts and crafts from around the world! Everything is imported and handpicked in over 7 different countries by owners Ron Dacey, Rhonda Cook, and Maximus Dacey. Celebrating their 21st season, Primitive Designs has been nominated for a provincial tourism award, has won 2021 Customer first award along with past awards of excellence in Local Economic Impact, People's Choice, Chambers choice and Best Gift Store. Home to the Big Robots, including a recent addition of Kraken and giant shark! A main attraction in Northumberland County, and Ontario! People come from miles around to browse and purchase Primitive Designs' beautiful handcrafted pieces, and there's something for everybody! We carry everything from Bamboo bars, carvings, masks, drums, clothing, outdoor decor, pottery, jewelry, and other amazing treasures. The warehouse definitely must be seen to be believed.",9:00 AM - 5:00 PM,Port Hope,"Speciality and Gift Shops, Speciality Museums",4.5,265
050,Pondview at Bella Terra Vineyards,"Pondview at Bella Terra Vineyards invites visitors to indulge in an exquisite wine tasting experience amidst picturesque vineyards, offering a serene ambiance and stunning views of the surrounding countryside, making it the perfect destination for wine enthusiasts and nature lovers alike.",10:00 AM - 5:00 PM,Niagara-on-the-lake,Wineries and Vineyards,4.5,310
051,National Air Force Museum of Canada,"The National Air Force Museum of Canada (NAFMC) is proud to honour the heritage of the Royal Canadian Air Force. Discover an aviation history full of valour and tradition through a wide variety of exhibits, interactive activities and displays, including the fully restored World War II Halifax Bomber (the only one of its kind in the world!). Our 16-acre Airpark features both historic and active aircraft on view for an up-close and personal aviation experience. Also in the Airpark are some 11,000 Ad Astra Stones and 35 Monuments that tribute past and current members of the RCAF.",10:00 AM - 5:00 PM,Trenton,"Military Museums, Speciality Museums, History Museums",4.5,338
052,The Canadian Canoe Museum,"The Canadian Canoe Museum stewards the world's largest collection of canoes, kayaks and paddled watercraft. More than 600 in number, the watercraft and their stories of national and international significance, have a pivotal role to play in our collective future. PLEASE NOTE: the last day to visit the current museum at 910 Monaghan will be Labour Day (September 5, 2022) before we close to prepare to move to our new home at 2077 Ashburnham Drive (opening summer 2023!).",Temorarily Closed,Peterborough,"Speciality Museums, History Museums",4.5,411
053,Martello Alley,"Visit us at 203 B Wellington St., or online 24/7 on our new 360 interactive site. You can find it at menu “Virtual Shop” on our Website. A quirky and fun little art gallery located in an old alley in downtown Kingston Ontario. It is Ontario's only alley art gallery. The indoor gallery is located at the very end of the alley, beside the courtyard. The other ""shops"" you will see are not really shops at all - they are facades created to make up a little ""village"". Currently there is a ""fleuriste"" (flower shop) and a ""poissonnerie"" (fish shop). In reality these are the back walls of the restaurant next door. The door to the ""fleuriste"" is not a door at all, and the door to the ""poissonnerie"" is the back door/delivery to the restaurant. The ""lighthouse"" and the ""buoy"", complete with seagull and nest, are there to store and conceal the restaurant's garbage bins and kitchen oil drum. These themed ""shops"" serve as backdrops for the outdoor art that display in the corresponding themed area.",10:00 AM - 5:00 PM,Kingston,Art Galleries,4.5,388
054,Donkey Sanctuary of Canada,"Come and enjoy a wonderful day in the countryside at The Donkey Sanctuary of Canada! Our sanctuary, located on 200 beautiful acres is home to more than 100 donkeys, mules, and hinnies that have been through tough times or are no longer wanted. Visit the Donkey House and stroll by the paddocks, where you will encounter donkeys who are always happy to visit over the fence for a friendly ear scratch. Join one of our scheduled donkey talks to learn more about donkeys and mules and explore the interactive Learning Centre with info for all ages – from books to bones.",Temporarily closed,Puslinch,Farms,4.5,208
055,Clovermead,"Visit a regionally famous farm where families can laugh, learn, & play together! Enjoy wagon rides, Mist Maze, slides, petting the farm animals, mazes, straw jump, zip lines, pedal go-carts, jumping pillows, splash pad, & so much more. Experience Summer Days with the Bee Keeper, daily in July & August, where you can meet the queen bee, see a hive opened up for you & maybe even see a baby bee hatch! View Ontario’s Largest Glass Bee Display Hive, the Beestro Cafe, & the Pumpkin Festival every Saturday in October. Discover old fashion fun at our heritage honey farm near Aylmer. Our Honey Shop offers 6 varieties of honey on tap, & we can fill your container with your favourite! The Honey Shop is stocked with natural bee products, beeswax candles, maple syrup, preserves, and gifts. We host school tours, day camps, bus tours, corporate events, & birthday parties! We can host everything from baby showers to corporate events at Clovermead!",9:00 AM - 5:00 PM,Aylmer,Speciality and Gift Shops,4.5,194
056,MARKED: Ultimate Family Adventure Park,"Since 2007, MARKED has been the #1 source for Adventure in Ottawa and Greater Ottawa Valley. We offer Obstacle Course Racing, Axe Throwing, Mega Machines, Airsoft, Low Impact Paintball and so much more! Variety of games offer you an experience like no other and with our full range of scenario games, speedball and woodsball style game play, you will never be bored! Don't forget, not only are we an ON-SITE facility, but we can bring these games to you with our OFF-SITE Party packages! Don't forget we have a full line of equipment sales.",,Carleton Place,"Amusement and Theme Parks, Game and Entertainment Centres",5,131
057,Silversmith Brewing Company,"Ontario's original destination brewery--housed in an old church built in 1894. Home of the multi-award-winning Black Lager and many other fine brews. Not only do we offer beer to enjoy here and cans for you to take home, but also, we have partnered with Norcini to provide a menu of a fresh take on pub favourites. Enjoy freshly ground smash burgers, fried chicken sandwiches, fresh cut fries and more.",12:00 PM - 9:00 PM,Virgil,Breweries,4.5,389
058,Island Lake Conservation Area,"Island Lake Conservation Area, nestled in Orangeville, boasts serene lakes, scenic trails, and diverse wildlife, providing visitors with opportunities for hiking, fishing, picnicking, and wildlife observation, making it an ideal destination for outdoor recreation and nature exploration.",8:00 AM - 7:00 PM,Orangeville,Parks,4.5,188
059,Riverview Cellars Estate Winery,Riverview Cellars is a family estate vineyard producing high quality small-batch wines along the Niagara River.,10:00 AM - 5:00 PM,Niagara-on-the-lake,Wineries and Vineyards,4.5,214
060,Evergreen Brick Works,"A former brick making factory, Evergreen Brick Works is now a place where the world can experience sustainable practices that enable flourishing cities of the future. Evergreen Brick Works connects citizens, business, academia and government to shape our cities for the better. For real. Open daily and year-round, Evergreen Brick Works engages visitors in a full suite of attractions and events including our Saturday Farmers' Market, nature trails for hiking and cycling, site tours, exhibits, conferences, festivals, nature-based camps for youth and a sustainable garden market and eco-store.",9:00 AM - 5:00 PM,Toronto,"Points of Interest, Landmarks, Historic Walking Areas, Gardens",4.5,317
061,Awenda Provincial Park,"Awenda Provincial Park, situated on the shores of Georgian Bay, offers pristine beaches, lush forests, and scenic hiking trails, providing visitors with opportunities for camping, swimming, hiking, and wildlife spotting in a tranquil natural setting, making it a popular destination for outdoor enthusiasts and nature lovers.",8:30 AM - 11:00 PM,Penetanguishene,Parks,4.5,300
062,Kortright Centre for Conservation,"Located 10 minutes north of Toronto, on 325 hectares of pristine woodlands, the Kortright Centre for Conservation combines a natural oasis with some of the most leading-edge sustainable education programs and events in Canada. Kortright Centre hosts 100,000 visitors annually. We offer more than 50 environmental education programs for schools, as well as a selection of 30 different sustainable technology workshops for the public, trades and professionals.",9:30 AM - 4:00 PM,Vaughan,"Nature and Wildlife Areas, Hiking Trails, Educational",4.5,169
063,Hilton Falls Conservation Area,"Hilton Falls Conservation Area, located near Milton, features picturesque waterfalls, serene forested trails, and scenic viewpoints, offering visitors opportunities for hiking, mountain biking, picnicking, and exploring nature, making it a popular destination for outdoor recreation and relaxation.",8:30 AM - 9:00 PM,Milton,"Hiking Trails, Waterfalls",4.5,192
064,The Screaming Heads of Midlothian,"The Screaming Heads of Midlothian is an eccentric outdoor art installation in Burk's Falls, featuring larger-than-life sculptures and whimsical creations scattered throughout the forest, offering visitors a surreal and immersive artistic experience in a natural setting.",8:00 AM - 8:00 PM,Burk's Falls,"Art Galleries, Parks",4.5,126
065,Stewart Park,"Stewart Park, nestled in the heart of Perth, Ontario, offers scenic beauty with its lush greenery, serene ponds, and picturesque walking trails, providing visitors with a peaceful retreat for leisurely strolls, picnics, and outdoor relaxation.",,Perth,Parks,5,183
066,Adventure Rooms Canada,"Advance reservations are required. Please book online on our website using our ""book now"" page. Please review our ""How it all works"" page for answers to frequently asked questions. Located in a large factory building on the main floor on Duke St. W in Kitchener. A 5 minute walk from the GO Train and Via Rail stations.",12:00 PM - 11:00 PM,Kitchener,Escape Games,5,1369
067,Ouimet Canyon Provincial Park,Spectacular and dizzying are the words to describe the steep-sided canyons of this rugged and scenic region.,,Dorion,"Canyons, Parks",4.5,122
068,Arboretum,"An arboretum is a curated collection of trees and other woody plants, often arranged for scientific and educational purposes. It serves as a living museum, showcasing a diverse array of tree species and providing visitors with an opportunity to learn about and appreciate the beauty and importance of trees in a tranquil and educational setting.",9:00 AM - 4:00 PM,Ottawa,Nature and Wildlife Areas,4.5,284
069,Bon Echo Provincial Park,"Bon Echo Provincial Park, nestled along the shores of Mazinaw Lake, offers stunning granite cliffs, serene forests, and crystal-clear waters, providing visitors with opportunities for camping, hiking, swimming, canoeing, and rock climbing in a breathtaking natural setting, making it a beloved destination for outdoor enthusiasts and nature lovers.",,Cloyne,Parks,4.5,295
070,Big Head Wines,"Big Head Wines is a boutique winery located in Niagara-on-the-Lake, renowned for its bold and flavorful wines crafted with meticulous attention to detail and innovative winemaking techniques, offering visitors a unique and memorable wine tasting experience in the heart of Ontario's wine country.",11:00 AM - 6:00 PM,Niagara-on-the-lake,Wineries and Vineyards,4.5,243
071,Macgregor Point Provincial Park,"MacGregor Point Provincial Park, nestled along the shores of Lake Huron, offers scenic beaches, lush forests, and diverse ecosystems, providing visitors with opportunities for camping, hiking, birdwatching, and water activities in a serene natural setting, making it an ideal destination for outdoor recreation and relaxation.",,Port Elgin,Nature and Wildlife Areas,4.5,197
072,Lighthall Vineyards,"We are a small, proud producer of wines from our Prince Edward County estate vineyards and cheese from a nearby sheep farmer.",10:00 AM - 5:00 PM,Milford,Wineries and Vineyards,4.5,119
